id,name,lat,lng,total_votes,turnout,margin,winning_party,tmc_share,bjp_share,cpim_share,inc_share,others_share,urbanization,literacy,income,cluster
189,Constituency 189,25.164285714285715,87.65714285714284,183342,82.19,7.18,TMC,46.44,39.26,1.12,12.19,1.0,26.24,78.92,38.09,3
190,Constituency 190,25.164285714285715,87.94285714285715,171419,78.17,7.69,TMC,42.62,34.92,6.03,9.56,6.87,55.24,74.62,67.95,0
191,Constituency 191,25.164285714285715,88.22857142857143,214919,77.48,2.7,TMC,42.19,39.48,9.79,3.93,4.6,23.89,80.66,34.89,3
192,Constituency 192,25.164285714285715,88.5142857142857,209358,81.97,0.4,TMC,38.14,37.74,5.78,11.89,6.45,24.11,71.79,73.84,1
193,Constituency 193,25.164285714285715,88.80000000000001,182365,80.84,6.19,TMC,48.42,42.22,3.38,1.1,4.88,59.19,76.73,57.31,2
194,Constituency 194,25.164285714285715,89.08571428571429,209397,77.01,5.25,TMC,40.39,35.14,9.51,7.4,7.57,36.91,72.78,56.57,0
195,Constituency 195,25.164285714285715,89.37142857142857,186510,76.76,10.66,BJP,36.86,47.52,7.1,7.51,1.01,33.39,75.15,50.34,0
196,Constituency 196,25.164285714285715,89.65714285714284,210218,80.03,4.09,TMC,46.38,42.29,5.4,5.03,0.91,57.46,71.21,36.11,2
197,Constituency 197,25.435714285714287,85.94285714285715,162536,76.29,17.51,TMC,49.71,32.2,4.34,0.99,12.76,37.17,81.39,53.5,0
198,Constituency 198,25.435714285714287,86.22857142857143,190193,79.23,10.46,TMC,45.67,35.21,9.16,9.0,0.97,75.19,75.91,53.6,2
199,Constituency 199,25.435714285714287,86.5142857142857,191696,77.81,7.87,TMC,47.67,39.8,5.03,3.23,4.27,22.05,60.05,49.59,1
200,Constituency 200,25.435714285714287,86.80000000000001,161579,83.44,12.19,TMC,45.18,32.99,11.35,1.08,9.4,45.72,79.23,43.27,2
201,Constituency 201,25.435714285714287,87.08571428571429,182355,78.79,6.3,TMC,39.51,33.21,10.11,5.04,12.13,10.0,67.36,71.72,1
202,Constituency 202,25.435714285714287,87.37142857142857,147839,84.67,4.52,BJP,38.29,42.81,11.56,6.49,0.86,34.01,70.61,53.54,0
203,Constituency 203,25.435714285714287,87.65714285714284,165492,87.58,0.37,TMC,41.19,40.82,8.21,8.79,0.99,22.14,76.52,33.92,3
204,Constituency 204,25.435714285714287,87.94285714285715,206782,75.24,3.54,TMC,41.15,37.61,5.77,7.2,8.26,27.18,82.93,56.88,0
205,Constituency 205,25.435714285714287,88.22857142857143,192004,72.74,12.92,TMC,49.07,36.15,9.5,1.11,4.16,10.0,78.47,56.89,1
206,Constituency 206,25.435714285714287,88.5142857142857,191716,81.7,6.75,TMC,41.12,34.37,14.41,8.96,1.13,10.0,66.91,51.75,1
207,Constituency 207,25.435714285714287,88.80000000000001,216651,78.14,1.57,BJP,41.63,43.2,8.31,4.47,2.38,10.0,71.68,72.47,1
208,Constituency 208,25.435714285714287,89.08571428571429,176995,79.37,1.59,BJP,41.16,42.75,7.58,7.5,1.01,61.91,75.84,45.84,2
209,Constituency 209,25.435714285714287,89.37142857142857,159771,85.7,5.86,TMC,42.96,37.1,7.12,7.55,5.26,26.89,67.1,56.35,1
210,Constituency 210,25.435714285714287,89.65714285714284,173009,85.71,12.96,TMC,51.81,38.85,1.74,3.1,4.5,50.55,66.01,52.63,2
211,Constituency 211,25.707142857142856,85.94285714285715,183359,68.69,2.34,BJP,38.67,41.0,8.94,10.45,0.94,10.0,58.98,58.49,1
212,Constituency 212,25.707142857142856,86.22857142857143,214345,84.06,14.45,TMC,51.37,36.92,4.46,0.88,6.38,10.0,65.85,56.15,1
213,Constituency 213,25.707142857142856,86.5142857142857,213423,78.86,3.57,TMC,43.67,40.1,7.09,4.18,4.96,42.08,86.0,63.6,0
214,Constituency 214,25.707142857142856,86.80000000000001,124781,75.11,1.19,TMC,43.08,41.89,10.21,0.96,3.87,10.0,86.43,47.83,3
215,Constituency 215,25.707142857142856,87.08571428571429,224762,83.17,12.36,TMC,46.35,33.99,8.35,10.37,0.94,10.0,71.25,57.59,1
216,Constituency 216,25.707142857142856,87.37142857142857,191213,81.67,2.93,TMC,37.51,34.59,8.96,11.79,7.15,12.31,77.26,74.28,1
217,Constituency 217,25.707142857142856,87.65714285714284,170937,78.58,1.16,TMC,43.05,41.9,9.41,1.21,4.44,46.03,92.33,36.87,2
218,Constituency 218,25.707142857142856,87.94285714285715,183549,74.26,0.38,TMC,34.99,34.61,20.84,3.01,6.55,10.0,75.94,41.2,3
219,Constituency 219,25.707142857142856,88.22857142857143,155525,80.32,2.17,TMC,40.51,38.34,16.68,0.9,3.57,10.0,73.19,38.79,3
220,Constituency 220,25.707142857142856,88.5142857142857,189497,75.45,16.55,TMC,49.72,33.17,6.23,1.08,9.79,10.0,85.26,57.18,1
221,Constituency 221,25.707142857142856,88.80000000000001,126295,87.7,1.84,TMC,45.36,43.52,2.87,1.0,7.24,10.0,75.51,67.44,1
222,Constituency 222,25.707142857142856,89.08571428571429,200160,73.05,5.32,TMC,44.42,39.1,2.57,3.23,10.68,28.01,60.92,64.1,1
223,Constituency 223,25.707142857142856,89.37142857142857,218941,86.36,20.32,TMC,53.61,33.29,4.56,7.53,1.02,44.4,89.28,25.17,2
224,Constituency 224,25.707142857142856,89.65714285714284,168052,71.91,7.75,BJP,38.49,46.23,3.19,3.72,8.36,10.0,73.38,37.8,3
225,Constituency 225,25.978571428571428,85.94285714285715,213160,79.64,9.61,BJP,34.05,43.66,5.65,11.97,4.66,32.85,83.59,39.04,3
226,Constituency 226,25.978571428571428,86.22857142857143,204749,76.85,10.17,TMC,46.79,36.62,5.12,0.89,10.58,39.06,83.68,47.17,0
227,Constituency 227,25.978571428571428,86.5142857142857,181095,76.07,9.37,TMC,46.47,37.09,2.9,10.41,3.12,34.85,85.17,46.86,0
228,Constituency 228,25.978571428571428,86.80000000000001,180297,73.18,16.23,TMC,41.47,25.24,13.25,9.72,10.32,24.26,86.25,64.26,1
229,Constituency 229,25.978571428571428,87.08571428571429,156736,87.42,1.25,TMC,47.17,45.92,3.7,2.03,1.18,14.89,61.47,47.55,1
230,Constituency 230,25.978571428571428,87.37142857142857,191633,81.13,1.75,TMC,45.71,43.96,1.07,8.2,1.07,40.53,84.56,47.86,0
231,Constituency 231,25.978571428571428,87.65714285714284,268569,72.72,10.85,TMC,50.31,39.46,1.48,5.98,2.77,13.67,76.78,69.67,1
232,Constituency 232,25.978571428571428,87.94285714285715,227833,73.94,3.25,BJP,40.75,44.0,4.66,1.21,9.39,39.95,78.71,80.26,0
233,Constituency 233,25.978571428571428,88.22857142857143,199560,78.71,7.64,TMC,42.01,34.37,1.03,4.9,17.69,26.7,90.35,38.63,3
234,Constituency 234,25.978571428571428,88.5142857142857,192816,91.45,17.52,TMC,52.3,34.78,7.58,4.15,1.19,20.78,81.06,20.0,3
235,Constituency 235,25.978571428571428,88.80000000000001,261650,82.86,5.8,TMC,43.35,37.55,11.59,6.56,0.95,36.32,68.33,35.59,3
236,Constituency 236,25.978571428571428,89.08571428571429,216921,77.89,11.69,TMC,50.9,39.22,1.18,7.51,1.18,35.56,63.97,70.31,0
237,Constituency 237,25.978571428571428,89.37142857142857,197786,86.43,6.07,TMC,42.14,36.08,15.31,2.69,3.78,47.95,65.98,53.77,2
238,Constituency 238,25.978571428571428,89.65714285714284,176107,77.72,10.37,TMC,44.57,34.2,4.07,16.11,1.05,54.3,69.79,36.24,2
239,Constituency 239,26.25,85.94285714285715,198203,75.91,6.17,TMC,48.84,42.67,2.6,5.0,0.89,24.51,82.58,46.37,3
240,Constituency 240,26.25,86.22857142857143,164465,80.77,9.45,TMC,49.96,40.5,3.4,5.1,1.05,29.24,83.28,39.81,3
241,Constituency 241,26.25,86.5142857142857,195855,78.7,1.19,BJP,44.65,45.84,4.28,1.08,4.16,60.72,79.84,53.91,2
242,Constituency 242,26.25,86.80000000000001,221101,74.09,8.62,TMC,41.15,32.53,12.0,5.42,8.91,48.97,75.81,46.71,2
243,Constituency 243,26.25,87.08571428571429,139709,83.12,0.43,BJP,44.16,44.59,2.57,7.69,0.99,78.68,72.87,41.4,2
244,Constituency 244,26.25,87.37142857142857,184338,87.34,8.87,TMC,42.63,33.77,12.29,9.16,2.15,18.64,95.83,26.23,3
245,Constituency 245,26.25,87.65714285714284,204504,77.29,1.11,TMC,39.19,38.07,12.66,2.76,7.31,36.31,98.23,54.5,0
246,Constituency 246,26.25,87.94285714285715,174235,74.56,7.49,TMC,40.86,33.38,5.11,11.86,8.79,26.74,87.51,56.42,0
247,Constituency 247,26.25,88.22857142857143,177886,76.09,0.98,TMC,42.21,41.23,5.51,7.71,3.33,28.56,58.55,54.03,1
248,Constituency 248,26.25,88.5142857142857,203354,85.04,10.7,TMC,43.74,33.04,9.15,5.58,8.49,45.73,74.03,66.65,0
249,Constituency 249,26.25,88.80000000000001,238697,76.19,4.92,TMC,39.92,34.99,12.4,7.17,5.52,14.39,56.88,38.36,3
250,Constituency 250,26.25,89.08571428571429,232749,75.67,2.21,BJP,37.65,39.86,3.63,10.87,7.99,60.53,69.5,48.45,2
251,Constituency 251,26.25,89.37142857142857,232995,81.77,16.94,TMC,52.51,35.58,3.17,1.51,7.23,10.0,69.07,43.32,3
252,Constituency 252,26.25,89.65714285714284,193571,78.62,5.71,TMC,46.8,41.1,3.98,1.05,7.07,57.42,79.47,71.02,0
253,Constituency 253,26.521428571428572,85.94285714285715,186831,77.12,6.89,TMC,41.7,34.8,9.8,10.24,3.45,35.92,73.07,25.25,3
254,Constituency 254,26.521428571428572,86.22857142857143,190508,80.15,0.52,TMC,43.26,42.75,1.0,9.89,3.1,22.96,73.9,65.69,1
255,Constituency 255,26.521428571428572,86.5142857142857,170596,83.48,11.4,TMC,47.14,35.75,10.16,5.34,1.61,29.24,63.15,29.52,3
256,Constituency 256,26.521428571428572,86.80000000000001,158443,84.69,10.64,TMC,43.99,33.35,6.14,12.27,4.24,69.96,80.33,59.56,2
257,Constituency 257,26.521428571428572,87.08571428571429,230717,75.94,2.26,BJP,36.44,38.7,1.32,10.87,12.67,18.76,79.12,66.97,1
258,Constituency 258,26.521428571428572,87.37142857142857,150684,79.01,14.28,TMC,53.12,38.84,1.02,1.02,5.99,12.39,87.59,57.61,1
259,Constituency 259,26.521428571428572,87.65714285714284,256989,73.34,1.73,TMC,40.29,38.56,9.83,6.12,5.21,10.0,72.47,52.3,1
260,Constituency 260,26.521428571428572,87.94285714285715,187964,77.85,8.13,TMC,47.23,39.1,1.12,3.86,8.69,68.81,61.54,22.18,2
261,Constituency 261,26.521428571428572,88.22857142857143,170176,78.33,5.48,TMC,43.14,37.66,8.81,6.18,4.2,10.0,62.66,50.26,1
262,Constituency 262,26.521428571428572,88.5142857142857,201041,73.15,12.76,TMC,48.76,36.0,9.76,0.94,4.55,27.41,63.94,89.97,1
263,Constituency 263,26.521428571428572,88.80000000000001,130040,82.55,3.35,BJP,40.14,43.49,10.77,4.34,1.26,39.76,75.82,60.65,0
264,Constituency 264,26.521428571428572,89.08571428571429,246819,82.23,9.83,TMC,48.46,38.63,1.14,10.64,1.14,42.9,89.02,92.86,0
265,Constituency 265,26.521428571428572,89.37142857142857,217387,75.73,0.67,TMC,39.21,38.54,14.73,2.96,4.56,73.06,80.13,37.91,2
266,Constituency 266,26.521428571428572,89.65714285714284,220581,85.21,8.99,TMC,46.66,37.67,4.02,3.19,8.46,37.34,77.58,32.32,3
267,Constituency 267,26.792857142857144,85.94285714285715,198272,86.75,2.06,BJP,45.56,47.62,1.13,4.55,1.13,30.72,84.27,49.2,0
268,Constituency 268,26.792857142857144,86.22857142857143,151146,76.45,4.41,TMC,47.37,42.96,6.31,2.18,1.18,10.0,55.12,39.28,3
269,Constituency 269,26.792857142857144,86.5142857142857,229905,76.65,11.68,BJP,33.17,44.85,8.51,3.79,9.68,73.68,83.17,37.24,2
270,Constituency 270,26.792857142857144,86.80000000000001,163286,79.23,12.05,TMC,44.65,32.6,12.12,1.44,9.19,27.75,91.8,37.05,3
271,Constituency 271,26.792857142857144,87.08571428571429,187158,79.38,12.87,TMC,50.08,37.21,4.51,0.95,7.25,36.13,66.86,43.98,3
272,Constituency 272,26.792857142857144,87.37142857142857,219280,81.67,1.32,BJP,39.38,40.7,10.73,7.98,1.22,45.05,84.25,73.06,0
273,Constituency 273,26.792857142857144,87.65714285714284,239034,77.06,1.96,TMC,44.16,42.21,1.2,11.22,1.2,49.66,75.35,29.57,2
274,Constituency 274,26.792857142857144,87.94285714285715,166726,80.17,5.8,TMC,45.69,39.89,6.68,1.23,6.5,62.34,71.14,57.12,2
275,Constituency 275,26.792857142857144,88.22857142857143,203671,79.52,15.56,TMC,49.19,33.63,2.95,5.3,8.92,38.5,67.51,68.47,0
276,Constituency 276,26.792857142857144,88.5142857142857,187194,75.03,4.11,TMC,45.5,41.39,5.15,5.72,2.25,33.84,88.14,62.45,0
277,Constituency 277,26.792857142857144,88.80000000000001,225944,79.12,22.1,TMC,49.24,27.14,16.76,0.94,5.92,10.0,82.59,35.67,3
278,Constituency 278,26.792857142857144,89.08571428571429,236920,85.64,12.67,TMC,48.05,35.38,10.57,1.0,4.99,41.02,84.11,67.9,0
279,Constituency 279,26.792857142857144,89.37142857142857,175646,80.06,0.99,TMC,40.19,39.2,5.89,10.15,4.57,13.25,77.35,34.36,3
280,Constituency 280,26.792857142857144,89.65714285714284,198210,72.46,7.22,BJP,40.03,47.25,10.19,1.12,1.42,10.0,60.64,69.13,1
281,Constituency 281,27.064285714285713,85.94285714285715,232585,72.08,2.41,BJP,34.08,36.49,6.71,8.51,14.21,13.12,68.19,52.73,1
282,Constituency 282,27.064285714285713,86.22857142857143,222900,85.61,3.89,TMC,43.63,39.74,2.99,3.96,9.67,10.0,73.64,35.51,3
283,Constituency 283,27.064285714285713,86.5142857142857,161689,84.43,18.22,TMC,48.28,30.06,8.28,0.95,12.43,14.46,68.64,55.06,1
284,Constituency 284,27.064285714285713,86.80000000000001,204494,74.59,1.6,TMC,42.49,40.89,1.01,14.6,1.01,28.18,54.89,74.96,1
285,Constituency 285,27.064285714285713,87.08571428571429,190414,91.04,0.55,TMC,41.23,40.68,6.04,2.98,9.07,41.16,80.46,54.82,0
286,Constituency 286,27.064285714285713,87.37142857142857,223225,81.17,7.56,TMC,43.08,35.52,5.09,8.85,7.46,41.01,77.94,45.45,2
287,Constituency 287,27.064285714285713,87.65714285714284,174935,82.12,13.81,TMC,46.18,32.37,7.03,10.46,3.95,20.74,80.83,57.42,1
288,Constituency 288,27.064285714285713,87.94285714285715,215283,81.88,0.5,BJP,35.53,36.03,12.36,9.57,6.5,10.0,79.84,63.53,1
289,Constituency 289,27.064285714285713,88.22857142857143,221888,87.08,19.56,TMC,50.34,30.78,7.7,7.66,3.53,21.99,70.86,32.87,3
290,Constituency 290,27.064285714285713,88.5142857142857,209037,95.0,10.13,TMC,47.26,37.12,9.62,4.91,1.09,34.0,66.24,39.02,3
291,Constituency 291,27.064285714285713,88.80000000000001,189739,76.09,16.31,TMC,48.93,32.62,0.96,2.12,15.38,48.41,52.68,65.47,0
292,Constituency 292,27.064285714285713,89.08571428571429,195848,76.08,3.34,BJP,41.51,44.86,5.39,1.02,7.21,10.0,69.3,66.17,1
293,Constituency 293,27.064285714285713,89.37142857142857,266811,75.3,1.96,BJP,44.43,46.39,2.76,2.99,3.43,54.25,68.9,55.84,2
294,Constituency 294,27.064285714285713,89.65714285714284,189429,91.71,5.22,TMC,45.74,40.52,8.22,0.97,4.55,17.39,73.3,29.03,3
